Título,Visualizações,Likes,Comentários,Ref,Fundos Citados
KNHY11 - Resumo Mensal do Kinea High Yield ref. Abr.20,311,30,0, Abr.20,KNHY11
KNIP11 - Resumo Mensal do Kinea Índices de Preços ref. Abr.20,362,19,0, Abr.20,KNIP11
KNCR11 - Resumo Mensal do Kinea Rendimentos ref. Abr.20,503,36,0, Abr.20,KNCR11
KDIF11 - Resumo Mensal do Kinea Infra ref. Abr.20,343,15,0, Abr.20,KDIF11
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Abr.20,217,16,0, Abr.20,KFOF11
KNRI11 - Resumo Mensal do Kinea Renda ref. Abr.20,843,96,0, Abr.20,KNRI11
Prev Crédito Privado Kinea - Resumo Mensal ref. Abr.20,93,5,0, Abr.20,
Fundos Líquidos da Kinea - Resumo Mensal ref. Abr.20,331,19,0, Abr.20,
Renda Fixa Absoluto - Resumo Mensal ref. Abr.20,200,7,0, Abr.20,
Fundos de Ações Kinea - Resumo Mensal ref. Abr.20,140,15,0, Abr.20,
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Mar.20,367,28,0, Mar.20,KFOF11
Fundos de Ações Kinea - Resumo Mensal ref. Mar.20,246,53,0, Mar.20,
KNHY11 - Resumo Mensal do Kinea High Yield ref. Mar.20,172,10,0, Mar.20,KNHY11
KNCR11 - Resumo Mensal do Kinea Rendimentos ref. Mar.20,219,16,0, Mar.20,KNCR11
KNIP11 - Resumo Mensal do Kinea Índices de Preços ref. Mar.20,220,13,0, Mar.20,KNIP11
KDIF11 - Resumo Mensal do Kinea Infra ref. Mar.20,243,16,0, Mar.20,KDIF11
KNRI11 - Resumo Mensal do Kinea Renda ref. Mar.20,971,109,0, Mar.20,KNRI11
Prev Crédito Privado Kinea - Ref. Mar20,149,9,0, Mar20,
Fundos Multimercados e de Renda Fixa Kinea - Ref. Mar20,701,23,0, Mar20,
Renda Fixa Absoluto Kinea - Resumo Mensal Ref. Mar20,452,14,0, Mar20,
Fundos Multimercados e de Renda Fixa Kinea - Comentário Extraordinário,1999,66,0,,
KNIP11 - Resumo Extraordinário Índices de Preços,484,19,0,,KNIP11
KNCR11 - Resumo Extraordinário Rendimentos,742,24,0,,KNCR11
KNHY11 - Resumo Extraordinário High Yield,393,24,0,,KNHY11
KFOF11 - Resumo Extraordinário Kinea FOF FII,398,19,0,,KFOF11
KDIF11 - Resumo Extraordinário Kinea Infra,1222,53,0,,KDIF11
Fundos de Ações Kinea - Resumo Mensal ref. Fev.20,255,17,0, Fev.20,
KNRI11 - Resumo Mensal do Kinea Renda ref. Jan.20,481,44,0, Jan.20,KNRI11
Prev RF Kinea - Resumo Mensal ref. Jan20,113,3,0, Jan20,
Fundos de Ações Kinea - Resumo Mensal Ref. Jan.20,230,4,0, Jan.20,
Renda Fixa Absoluto Kinea - Resumo Mensal ref. Jan20,262,3,0, Jan20,
