Título,Visualizações,Likes,Comentários,Ref,Fundos Citados
Fundo Kinea Crédito Agro - FIAGRO (KNCA11) - Resumo Mensal ref. Fevereiro.22,49780,73,0, Fevereiro.22,KNCA11
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Janeiro.22,381,34,0, Janeiro.22,KFOF11
Fundo Kinea Crédito Agro - FIAGRO (KNCA11) - Resumo Mensal ref. Janeiro.22,58448,94,0, Janeiro.22,KNCA11
"Fundos de CRIs (KNCR11, KNIP11, KNHY11 e KNSC11) - Resumo Mensal ref. Janeiro.22",36884,129,0, Janeiro.22,"KNCR11,KNIP11,KNHY11,KNSC11"
Fundo de Infraestrutura KDIF11 - Resumo Mensal do Kinea Infra ref. Janeiro.22,55256,81,0, Janeiro.22,KDIF11
KNRI11 - Resumo Mensal do Kinea Renda ref. Janeiro.22,60099,268,0, Janeiro.22,KNRI11
Fundos de Ações Kinea - Resumo Mensal ref. Janeiro.22,36128,17,0, Janeiro.22,
Crédito Privado Kinea - Resumo Mensal ref. Janeiro.22,36829,23,0, Janeiro.22,
Fundos Renda Fixa Kinea - Resumo Mensal ref. Janeiro.22,40255,21,1, Janeiro.22,
Fundos Multimercados Kinea - Resumo Mensal ref. Janeiro.22,44793,54,0, Janeiro.22,
Resumo Mensal dos Fundos de Desenvolvimento Imobiliário - Kinea Even II e Even Permuta - Dezembro.21,392,34,0,,
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Dezembro.21,439,41,0, Dezembro.21,KFOF11
"Fundos de CRIs (KNCR11, KNIP11, KNHY11 e KNSC11) - Resumo Mensal ref. Dezembro.21",41517,121,0, Dezembro.21,"KNCR11,KNIP11,KNHY11,KNSC11"
KNRI11 - Resumo Mensal do Kinea Renda ref. Dezembro.21,54282,210,0, Dezembro.21,KNRI11
Fundos de Ações Kinea - Resumo Mensal ref. Dezembro.21,37575,24,0, Dezembro.21,
KDIF11 - Resumo Mensal do Kinea Infra ref. Dezembro.21,45879,129,0, Dezembro.21,KDIF11
Crédito Privado Kinea - Resumo Mensal ref. Dezembro.21,29808,22,0, Dezembro.21,
Fundos Multimercados Kinea - Resumo Mensal ref. Dezembro.21,767,57,0, Dezembro.21,
Fundos de Ações Kinea - Resumo Mensal ref. Novembro.21,31081,30,0, Novembro.21,
KDIF11 - Resumo Mensal do Kinea Infra ref. Novembro.21,34795,104,0, Novembro.21,KDIF11
Fundos Multimercados Kinea - Resumo Mensal ref. Novembro.21,34695,66,0, Novembro.21,
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Novembro.21,506,41,0, Novembro.21,KFOF11
Crédito Privado Kinea - Resumo Mensal ref. Novembro.21,31887,17,0, Novembro.21,
Fundos Renda Fixa Kinea - Resumo Mensal ref. Novembro.21,30600,20,0, Novembro.21,
Resumo Mensal dos Fundos de Desenvolvimento Imobiliário - Kinea Even II e Even Permuta - Outubro.21,381,35,1,,
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Outubro.21,341,35,0, Outubro.21,KFOF11
